id,spectrum,eV
73,51.6803:2183.5203 57.0709:15369.8125 57.1722:2082.485 59.8294:9657.368 66.7456:2283.6543 67.2988:2148.5686 69.4209:2118.4958 69.4247:2008.4266 74.0972:14322.383 95.7189:1790.8544 96.8636:6102.2427 99.7731:2073.3313 130.0653:4328.566 130.1592:39649.492,30
73,57.0709:12757.435 59.8304:7829.425 66.3062:1874.7352 67.3557:2394.8313 74.0972:11488.973 96.8661:5273.0537 108.9245:2137.159 130.0656:4895.1206 130.1593:39416.516 144.3043:2011.8728,30
73,57.0708:11099.458 59.8589:9226.418 69.3835:1934.1228 70.7959:2228.1953 72.8298:2143.6536 74.0971:11433.585 77.8215:2328.861 80.1032:2187.6409 96.8648:6626.375 120.644:2716.657 130.1594:34022.336 144.7854:2170.5908,30
73,52.7183:2196.6196 53.44:2352.6633 57.0708:13300.89 60.4958:1999.7546 74.0973:13078.041 81.7057:2031.1824 95.4549:1964.7546 130.0652:3608.3015 130.1593:40553.805,30
73,54.7442:2102.601 57.0708:11948.485 59.8318:6390.473 59.835:3746.6584 74.0973:15471.278 96.8653:7283.07 130.065:3043.128 130.1594:41082.68,30
73,50.5423:2307.7004 57.0708:13497.945 60.831:4137.5776 74.0972:17266.307 130.0657:4819.3164 130.1592:43595.71,30
73,57.0709:13794.594 59.8301:9769.583 68.2216:2009.0754 74.0972:11283.493 96.8647:4080.444 119.0654:2044.1528 130.1594:41034.76,30
79,56.6034:2249.1277 69.0435:2137.3293 70.8352:2128.079 83.0561:3697.421 83.0611:72024.36 107.061:19140.62 124.0403:2616.9663 124.0684:4876.8267 124.0873:694669.9 138.3764:2231.8113,30
79,50.4352:2105.7295 50.8129:2146.8462 53.347:2121.0579 54.9629:2175.921 57.1836:2193.7114 60.7799:5056.045 83.0611:27433.254 96.8661:2395.8027 107.0611:6660.971 124.0399:3427.3347 124.0873:249549.72,30
79,53.4083:2188.8586 58.3434:2160.4106 61.1181:3347.312 71.2468:2214.7559 83.0611:82542.49 107.061:18630.059 112.7268:2265.999 124.0873:837150.44 124.1062:7118.076 142.8524:2026.2528,30
79,51.4961:2298.0408 53.1331:2239.8923 60.9046:4218.885 63.6756:2309.3032 67.6361:2133.6865 83.0611:15612.394 83.9965:2457.2666 85.3537:1981.8458 95.5011:2237.9402 107.0608:4278.8364 124.0398:3624.4631 124.0782:2645.8696 124.0873:139889.39 124.0967:2471.8547,30
79,59.5947:5256.5513 59.5979:9961.743 61.3785:1876.5837 63.0717:1935.1514 64.8193:2367.1858 66.0347:2654.3154 70.3275:2261.6172 83.0562:4718.063 83.0611:99310.945 96.8653:8466.239 107.0607:21206.89 124.0683:6323.607 124.0873:941770.3 124.1062:7604.66 128.647:2206.2778 130.7281:2475.9045,30
79,56.3884:2293.4036 57.7525:1985.3372 61.1171:3009.4202 66.0347:3170.4624 73.6777:2031.1566 83.0569:1653.721 83.0611:98515.34 91.3421:2192.243 107.061:18519.312 108.9089:2332.192 124.0873:922110.44,30
79,51.4223:2962.5022 58.8326:3324.5432 59.9398:3705.0889 60.8654:7002.6714 61.224:3422.0735 66.0347:4660.642 76.6469:3503.8723 81.5956:3397.596 82.2222:3367.808 83.0562:6981.53 83.0611:135660.08 83.065:2767.6362 85.3414:3532.264 107.061:34292.21 124.0629:4587.029 124.0873:1354342.8 127.0117:3667.5208 135.1941:3325.895 138.0635:3047.1191,30
79,50.5856:1960.6638 59.6785:1928.2635 61.0769:2558.9312 62.2231:2275.5227 68.3309:2196.3945 71.9739:2163.0688 83.061:18440.953 87.2708:2085.0088 96.8624:2462.7578 107.061:5124.608 123.2975:1980.046 124.0395:4427.636 124.0873:165606.4 132.0022:2230.2551,30
79,51.6562:8499.695 60.8907:13154.191 72.7369:9226.512 83.0611:261768.61 84.976:8043.0186 91.8553:9033.957 107.0608:65926.86 124.0873:2509674.8 124.1063:14493.0205 138.2009:7459.7217,30
